2020-07-20 00:58:35.626 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] ---Changed configuration
2020-07-20 00:58:35.907 INFO  [AWT-EventQueue-0] Licensing - Generated installation GUID is MiBXjM44tnAD3CsGSv9whrmi1tnoP/u+gO9nlnSs59c=
2020-07-20 00:58:35.915 INFO  [AWT-EventQueue-0] c.z.j.i.plugin.xml.RebelXmlRestorer - Skipping initialization of rebel.xml restoration since this user is not in pilot.
2020-07-20 00:58:35.916 INFO  [AWT-EventQueue-0] o.z.jrebel.ide.common.CommonStartup - started successfully
2020-07-20 00:58:35.920 INFO  [AWT-EventQueue-0] o.z.j.i.c.n.LicenseNotifier - suspendNewNotifications
2020-07-20 00:58:35.921 INFO  [AWT-EventQueue-0] Core - No jrebel.properties found from file system.
2020-07-20 00:58:35.942 INFO  [AWT-EventQueue-0] c.z.j.i.p.s.IntellijProxyProvider - initComponent IntellijProxyProvider
2020-07-20 00:58:38.379 INFO  [AWT-EventQueue-0] c.z.j.i.c.g.pilot.SetupGuidePilot - In pilot group: true
2020-07-20 00:58:38.380 INFO  [AWT-EventQueue-0] c.z.j.i.c.g.pilot.SetupGuidePilot - In setup guide no browser on activation pilot: true
2020-07-20 00:58:38.391 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - No reloads found, initializing setup guide normally
2020-07-20 00:58:38.392 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - The initial state is LOCKED for guide model step ACTIVATE
2020-07-20 00:58:38.392 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - The initial state is LOCKED for guide model step PROJECT_CONFIGURATION
2020-07-20 00:58:38.392 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - The initial state is LOCKED for guide model step STARTUP_CONFIGURATION
2020-07-20 00:58:38.392 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - The initial state is LOCKED for guide model step INTELLIJ_AUTOCOMPILE
2020-07-20 00:58:38.392 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - The initial state is LOCKED for guide model step RELOAD
2020-07-20 00:58:38.392 INFO  [AWT-EventQueue-0] c.z.j.i.c.g.m.ActivationModelStep - New licensing status LicensingStatus [ hasLicense = true; hasValidLicenseType=false; isValid=false; isExpired=false; errorMessage = 'LicensingMessage{description='You do not have a valid license!', callToAction='', exceptionMessage='null', link='null'}'; activationStatus=null; ]
2020-07-20 00:58:38.399 INFO  [AWT-EventQueue-0] c.z.j.idea.plugin.guide.SetupGuide - Schedule showing setup guide in 1 seconds
2020-07-20 00:58:38.401 INFO  [AWT-EventQueue-0] o.z.j.c.licensing.JRebelLicensing - addActivationFinishedListener org.zeroturnaround.jrebel.ide.common.notifications.LicenseNotifier@2564c34
2020-07-20 00:58:38.403 INFO  [AWT-EventQueue-0] c.z.j.i.p.n.XRebelOnboardingNotification - Showing XRebel onboarding notification
2020-07-20 00:58:38.480 INFO  [ApplicationImpl pooled thread 10] o.z.j.i.c.f.h.HybrisDetectionUtil - Looking for Hybris platform directory from C:/Users/mxy/IdeaProjects/store
2020-07-20 00:58:38.547 INFO  [AWT-EventQueue-0] c.z.j.i.p.f.JRebelFacetSyncComponent - New module store added in project store, check for facets
2020-07-20 00:58:38.572 WARN  [ApplicationImpl pooled thread 8] c.z.j.i.p.r.a.ProjectsPathProvider - Module has JRebel enabled, but file at 'C:\Users\mxy\IdeaProjects\store\src\main\resources\rebel.xml' does not exist
2020-07-20 00:58:38.572 INFO  [ApplicationImpl pooled thread 8] c.z.j.i.p.r.a.ProjectsPathProvider - Collecting project paths took 8 ms, 0 projects ids collected
2020-07-20 00:58:38.591 INFO  [AWT-EventQueue-0] c.z.j.b.o.e.jetty.server.Server - jetty-8.y.z-SNAPSHOT
2020-07-20 00:58:38.600 INFO  [AWT-EventQueue-0] c.z.j.b.o.e.j.s.AbstractConnector - Started SocketConnector@localhost:17434
2020-07-20 00:58:38.849 INFO  [ApplicationImpl pooled thread 10] o.z.common.jvm.JavaExeJVM - Evaluating jvm properties took 222 ms
2020-07-20 00:58:45.669 INFO  [ApplicationImpl pooled thread 7] c.z.j.i.p.x.e.ExternalAutoConvert - ExternalAutoConvert is disabled: false
2020-07-20 00:58:45.671 INFO  [ApplicationImpl pooled thread 7] o.z.j.c.f.e.SharedExternalAutoConvert - Found 0 total -> 0 no-autoconvert=false -> 0 ide-gen -> 0 time-permitted => 0 candidate
2020-07-20 00:58:46.056 INFO  [AWT-EventQueue-0] o.z.j.ide.common.nps.IdeNPSShower - NPS Shower instance has been inited
2020-07-20 00:58:46.669 INFO  [AWT-EventQueue-0] c.z.j.i.p.g.ui.InstallGuideWindow - Create new instance of setup guide
2020-07-20 00:58:50.922 INFO  [rebel-intellij-startup] o.z.j.i.c.n.LicenseNotifier - resumeNewNotifications
2020-07-20 00:59:11.222 INFO  [AWT-EventQueue-0] Core - No jrebel.properties found from file system.
2020-07-20 00:59:11.490 INFO  [AWT-EventQueue-0] o.z.j.i.c.n.LicenseNotifier - suspendNewNotifications
2020-07-20 00:59:11.491 INFO  [AWT-EventQueue-0] o.z.j.c.licensing.JRebelLicensing - addActivationFinishedListener com.zeroturnaround.javarebel.idea.plugin.settings.ActivationDialogController@7af7d9d7
2020-07-20 00:59:13.002 INFO  [rebel-ide-scheduler-1] c.z.http.proxy.HttpProxyHolder - Using initializer for proxy creations: ProxyInitializerImpl{IDE instance}
2020-07-20 00:59:13.003 INFO  [rebel-ide-scheduler-1] c.z.http.proxy.HttpProxyHolder - Save mixpanel proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 00:59:13.005 INFO  [rebel-ide-scheduler-1] c.z.http.proxy.HttpProxyHolder - Save generic proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 00:59:35.888 INFO  [rebel-ide-stats-sender-1] c.z.j.remoting.metrics.SyncTimer - No synchronizations since last stats, skipping sending sync time stats
2020-07-20 00:59:35.947 INFO  [rebel-ide-stats-sender-1] c.z.j.r.m.p.CachedMetricsProvider - Cache is stale, not using.
2020-07-20 00:59:35.949 INFO  [rebel-ide-stats-sender-1] o.z.j.reporting.MixpanelMetrics - Can't send stats as no license is available
2020-07-20 01:15:03.020 INFO  [rebel-ide-activation-dialog-1] Licensing-LS - Creating new http with proxy: ProxySelector{validatorTimeout=5000, theChosenOne=null, source=IDE_LICENSING}
2020-07-20 01:15:03.030 INFO  [rebel-ide-activation-dialog-1] Licensing-LS - Created new LicenseServer client: com.zeroturnaround.javarebel.ab@4506f4a9[serverRootUrl=https://jrebel.qekang.com,token=714bc436-8b8e-42e9-9289-4458ce515c59,installationGuid=MiBXjM44tnAD3CsGSv9whrmi1tnoP/u+gO9nlnSs59c=]
2020-07-20 01:15:03.154 INFO  [rebel-ide-activation-dialog-1] Licensing-LS - License registered to mxy. LS version: 3.2.4, LS guid: a1b4aea8-b031-4302-b602-670a990272cb, License orderId: , zero-ids: []
2020-07-20 01:15:03.164 INFO  [rebel-ide-activation-dialog-1] Core - No jrebel.properties found from file system.
2020-07-20 01:15:03.168 INFO  [rebel-ide-activation-dialog-1] Core - Rebel properties loaded from C:\Users\mxy\.jrebel\jrebel.properties:
rebel.license.email=test@123.com
rebel.properties.version=2

2020-07-20 01:15:03.175 INFO  [rebel-ide-activation-dialog-1] Core - Rebel properties loaded from C:\Users\mxy\.jrebel\jrebel.properties:
rebel.license.email=test@123.com
rebel.license.url=https://jrebel.qekang.com/714bc436-8b8e-42e9-9289-4458ce515c59
rebel.properties.version=2

2020-07-20 01:15:03.177 WARN  [rebel-leaseManager-1] Licensing-LS - Connection failed with HTTP 404 (Not Found).
2020-07-20 01:15:03.177 INFO  [rebel-leaseManager-1] Licensing - Licensing exception: LicensingMessage{description='Connection failed with HTTP 404 (Not Found).', callToAction='', exceptionMessage='null', link='null'}
2020-07-20 01:15:03.182 INFO  [rebel-ide-activation-dialog-1] Core - Rebel properties loaded from C:\Users\mxy\.jrebel\jrebel.properties:
rebel.license.email=test@123.com
rebel.license.url=https://jrebel.qekang.com/714bc436-8b8e-42e9-9289-4458ce515c59
rebel.preferred.license=1
rebel.properties.version=2

2020-07-20 01:15:03.183 INFO  [rebel-ide-activation-dialog-1] c.z.j.i.c.g.m.ActivationModelStep - New licensing status LicensingStatus [ hasLicense = true; hasValidLicenseType=true; isValid=true; isExpired=false; errorMessage = 'null'; activationStatus=null; ]
2020-07-20 01:15:03.184 INFO  [rebel-ide-activation-dialog-1] c.z.j.i.c.guide.model.GuideModel - Updated the state of step ACTIVATE to DONE
2020-07-20 01:15:03.184 WARN  [rebel-leaseManager-1] Licensing-LS - Connection failed with HTTP 404 (Not Found).
2020-07-20 01:15:03.184 INFO  [rebel-leaseManager-1] Licensing - Licensing exception: LicensingMessage{description='Connection failed with HTTP 404 (Not Found).', callToAction='', exceptionMessage='null', link='null'}
2020-07-20 01:15:03.184 INFO  [rebel-leaseManager-1] Licensing-LS - Loaded client features for url: https://jrebel.qekang.com -> []
2020-07-20 01:15:03.205 INFO  [rebel-ide-activation-dialog-1] o.z.j.c.l.JRebelLicensingImpl - Sending activation message
2020-07-20 01:15:09.659 INFO  [rebel-ide-activation-dialog-1] o.z.j.reporting.MixpanelMetrics - Browser controller not allowed. NOP.
2020-07-20 01:15:09.665 INFO  [AWT-EventQueue-0] o.z.j.i.c.u.a.TabsController - showActivationResult LicensingStatus [ hasLicense = true; hasValidLicenseType=true; isValid=true; isExpired=false; errorMessage = 'null'; activationStatus=null; ]
2020-07-20 01:15:09.666 INFO  [AWT-EventQueue-0] o.z.j.i.c.u.a.TabsController - updating panel
2020-07-20 01:15:44.035 INFO  [AWT-EventQueue-0] o.z.j.c.licensing.JRebelLicensing - removeActivationFinishedListener com.zeroturnaround.javarebel.idea.plugin.settings.ActivationDialogController@7af7d9d7
2020-07-20 01:15:44.036 INFO  [AWT-EventQueue-0] o.z.j.i.c.n.LicenseNotifier - resumeNewNotifications
2020-07-20 01:17:21.006 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - Updated the state of step PROJECT_CONFIGURATION to DONE
2020-07-20 01:17:22.957 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - Updated the state of step STARTUP_CONFIGURATION to DONE
2020-07-20 01:17:39.557 INFO  [AWT-EventQueue-0] c.z.j.i.p.f.a.AutoCompileFeature - Setting autocompile feature enabled: true, source: SETUP_GUIDE
2020-07-20 01:17:39.558 INFO  [AWT-EventQueue-0] c.z.j.i.p.f.a.AutoCompileFeature - Set project store feature enabled: true
2020-07-20 01:17:39.558 INFO  [AWT-EventQueue-0] c.z.j.i.c.g.m.AutoCompilationModelStep - Autocompile marking as completed
2020-07-20 01:17:39.559 INFO  [AWT-EventQueue-0] c.z.j.i.c.guide.model.GuideModel - Updated the state of step INTELLIJ_AUTOCOMPILE to DONE
2020-07-20 01:19:06.683 INFO  [AWT-EventQueue-0] c.z.j.i.p.f.a.AutoCompileFeature - Not showing dialog - looks enabled by user
2020-07-20 01:19:06.833 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save licensing proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:19:06.834 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save mixpanel proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:19:06.835 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save generic proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:19:06.854 INFO  [AWT-EventQueue-0] o.z.j.client.args.LaunchingArgs - can use native agent: true
2020-07-20 01:19:06.865 INFO  [AWT-EventQueue-0] o.z.common.util.ShortFilenameUtil - To short filename [C:\Users\mxy\AppData\Roaming\JetBrains\IntelliJIdea2020.1\plugins\jr-ide-idea\lib\jrebel6\lib\jrebel64.dll] -> [C:\Users\mxy\AppData\Roaming\JetBrains\IntelliJIdea2020.1\plugins\jr-ide-idea\lib\jrebel6\lib\jrebel64.dll]
2020-07-20 01:19:06.865 INFO  [AWT-EventQueue-0] o.z.common.util.ShortFilenameUtil - To short filename [C:\Users\mxy\.jrebel] -> [C:\Users\mxy\.jrebel]
2020-07-20 01:19:23.709 INFO  [AWT-EventQueue-0] c.z.j.i.p.f.a.AutoCompileFeature - Not showing dialog - looks enabled by user
2020-07-20 01:19:24.562 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save licensing proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:19:24.563 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save mixpanel proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:19:24.565 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save generic proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:19:24.580 INFO  [AWT-EventQueue-0] o.z.j.client.args.LaunchingArgs - can use native agent: true
2020-07-20 01:20:32.267 INFO  [AWT-EventQueue-0] c.z.j.i.p.f.a.AutoCompileFeature - Not showing dialog - looks enabled by user
2020-07-20 01:20:32.453 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save licensing proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:20:32.455 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save mixpanel proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:20:32.457 INFO  [AWT-EventQueue-0] c.z.http.proxy.HttpProxyHolder - Save generic proxy settings from class com.zeroturnaround.javarebel.idea.plugin.settings.IntellijProxyProvider to preferences: null
2020-07-20 01:20:32.470 INFO  [AWT-EventQueue-0] o.z.j.client.args.LaunchingArgs - can use native agent: true
2020-07-20 01:20:32.471 INFO  [AWT-EventQueue-0] o.z.common.util.ShortFilenameUtil - To short filename [C:\Users\mxy\AppData\Roaming\JetBrains\IntelliJIdea2020.1\plugins\jr-ide-idea\lib\xrebel\xrebel.jar] -> [C:\Users\mxy\AppData\Roaming\JetBrains\IntelliJIdea2020.1\plugins\jr-ide-idea\lib\xrebel\xrebel.jar]
2020-07-20 01:20:57.198 INFO  [AWT-EventQueue-0] c.z.j.i.p.s.IntellijProxyProvider - disposeComponent IntellijProxyProvider
2020-07-20 01:21:33.215 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] ---Changed configuration
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] File to log JDI Exceptions : null
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Hide Rebel Stack Frames : true
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Hide Rebel Threads : true
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Hide Rebel Classes : true
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Don't expose versioned types : true
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Fix That : true
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Can call Rebel runtime : true
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Prevent stepping to Rebel code: true
2020-07-20 01:21:33.217 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Pump events: true
2020-07-20 01:21:33.218 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] IDE identificator: IntelliJ IDEA IU-201.6668.121 JRebel plugin: 2020.2.3
2020-07-20 01:21:33.219 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] IDE identificator as code: 0x400000000000000
2020-07-20 01:21:33.219 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] IDE type as code: 0x4
2020-07-20 01:21:33.219 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Wrapper proxy builder: com.zeroturnaround.jdi.proxy.DefaultFactoryBuilder@556ca343
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Logger factory : NOP
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle fields : true
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle methods : true
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle stepping : true
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle breakpoints : true
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle reloading: true
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] Handle arrays: true
2020-07-20 01:21:33.220 INFO  [AWT-EventQueue-0] o.z.j.i.d.AbstractDebuggerConfiguration - [DI] ------------------------
2020-07-20 01:21:32.702 INFO  [AWT-EventQueue-0] Core - Rebel properties loaded from C:\Users\mxy\.jrebel\jrebel.properties:
rebel.license.email=test@123.com
rebel.license.url=https://jrebel.qekang.com/714bc436-8b8e-42e9-9289-4458ce515c59
rebel.preferred.license=1
rebel.properties.version=2

2020-07-20 01:21:32.743 INFO  [AWT-EventQueue-0] o.z.jrebel.client.logger.Log - Log level is now INFO
2020-07-20 01:21:32.743 INFO  [AWT-EventQueue-0] o.z.jrebel.client.logger.Log - Using log level INFO
2020-07-20 01:21:33.288 INFO  [AWT-EventQueue-0] Core - Rebel properties loaded from C:\Users\mxy\.jrebel\jrebel.properties:
rebel.license.email=test@123.com
rebel.license.url=https://jrebel.qekang.com/714bc436-8b8e-42e9-9289-4458ce515c59
rebel.preferred.license=1
rebel.properties.version=2

2020-07-20 01:21:33.315 INFO  [AWT-EventQueue-0] c.z.j.idea.plugin.logger.IdeaLog - Java version: 11.0.6
JRebel version used: 2020.2.3 (202006190909) griffin
IntelliJ IDEA IU-201.6668.121 JRebel plugin: 2020.2.3

2020-07-20 01:21:33.380 INFO  [AWT-EventQueue-0] o.z.j.c.licensing.JRebelLicensing - addActivationFinishedListener org.zeroturnaround.jrebel.client.licensing.JRebelLicensingImpl$2@294da58e
2020-07-20 01:21:33.380 INFO  [AWT-EventQueue-0] o.z.jrebel.client.licensing.Watcher - Watcher starting, isProbablyLicenseServer: true, self: org.zeroturnaround.jrebel.client.licensing.Watcher@3d202f44
2020-07-20 01:21:33.381 INFO  [rebel-lwatch] Licensing - === Event: getCurrentLicense
2020-07-20 01:21:33.382 INFO  [AWT-EventQueue-0] o.z.common.util.RebelBaseUtils - log file: jrebel-intellij.log
2020-07-20 01:21:33.382 INFO  [AWT-EventQueue-0] o.z.common.util.RebelBaseUtils - log file: jrebel-licensing.log
2020-07-20 01:21:33.382 INFO  [AWT-EventQueue-0] o.z.common.util.RebelBaseUtils - log file: jrebel.log
2020-07-20 01:21:33.384 INFO  [rebel-lwatch] Licensing - Trying licenseServer licensing
2020-07-20 01:21:33.398 INFO  [rebel-lwatch] c.z.http.proxy.HttpProxyHolder - Using initializer for proxy creations: ProxyInitializerImpl{IDE instance}
2020-07-20 01:21:33.403 INFO  [rebel-lwatch] Licensing-LS - Creating new http with proxy: ProxySelector{validatorTimeout=5000, theChosenOne=null, source=IDE_LICENSING}
2020-07-20 01:21:33.432 INFO  [AWT-EventQueue-0] Licensing - Current installation GUID is MiBXjM44tnAD3CsGSv9whrmi1tnoP/u+gO9nlnSs59c=
2020-07-20 01:21:33.432 INFO  [AWT-EventQueue-0] c.z.j.i.plugin.xml.RebelXmlRestorer - Skipping initialization of rebel.xml restoration since this user is not in pilot.
2020-07-20 01:21:33.434 INFO  [AWT-EventQueue-0] o.z.jrebel.ide.common.CommonStartup - started successfully
2020-07-20 01:21:33.437 INFO  [AWT-EventQueue-0] o.z.j.i.c.n.LicenseNotifier - suspendNewNotifications
2020-07-20 01:21:33.438 INFO  [AWT-EventQueue-0] Core - Rebel properties loaded from C:\Users\mxy\.jrebel\jrebel.properties:
rebel.license.email=test@123.com
rebel.license.url=https://jrebel.qekang.com/714bc436-8b8e-42e9-9289-4458ce515c59
rebel.preferred.license=1
rebel.properties.version=2

2020-07-20 01:21:33.455 INFO  [AWT-EventQueue-0] c.z.j.i.p.s.IntellijProxyProvider - initComponent IntellijProxyProvider
2020-07-20 01:21:33.456 INFO  [rebel-lwatch] Licensing-LS - Created new LicenseServer client: com.zeroturnaround.javarebel.ab@474b38be[serverRootUrl=https://jrebel.qekang.com,token=714bc436-8b8e-42e9-9289-4458ce515c59,installationGuid=MiBXjM44tnAD3CsGSv9whrmi1tnoP/u+gO9nlnSs59c=]
2020-07-20 01:21:33.458 INFO  [rebel-lwatch] Licensing-LS - Trying to update lease with the License Server. null
